STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,TO,Tonga,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,4,Clerical Support Workers,_Z,Not applicable,_T,No breakdown by disability,2018,,10.43,,CUR_LCU,local currency,G,Global,_X,Not Available,,,B,Time series break,Repository: ILO-STATISTICS - Micro data processing. Break in series: Methodology revised | TOP: Pa'anga.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,TO,Tonga,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,4,Clerical Support Workers,_Z,Not applicable,_T,No breakdown by disability,2021,,6.83,,CUR_LCU,local currency,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing. TOP: Pa'anga.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_NEET,"8.6.1 Youth not in education, employment or training",FM,Micronesia (Federated States of),F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,33.62,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,4,Clerical Support Workers,_Z,Not applicable,_T,No breakdown by disability,2019,,3.46,,CUR_LCU,local currency,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing. USD: United States dollar.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,KI,Kiribati,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,12.25,,PERCENT,percent,G,Global,_X,Not Available,,,,,Data reference period: November.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,KI,Kiribati,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,27.63,,PERCENT,percent,G,Global,_X,Not Available,,,,,Data reference period: November.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,KI,Kiribati,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,11.87,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,KI,Kiribati,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,8.48,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,KI,Kiribati,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,9.9,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2000,,2.81,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2001,,-6.87,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2002,,-8.69,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,0.97,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,0.4,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,1.71,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,5.24,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,-1.56,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,1.26,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,-1.16,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,-1.33,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,1.03,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,-1.12,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,-1.68,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,1.12,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,-1.75,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,2.54,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,4.14,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,0.58,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,0.98,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,-7.79,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,-1.56,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,-1.2,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2023,,-1.58,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_PCAP,8.2.1 Growth rate of real GDP per employed person,VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2024,,-0.51,,PERCENT,percent,G,Global,_X,Not Available,,,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,WF,Wallis and Futuna,_T,Total,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,56.29,,PERCENT,percent,G,Global,_X,Not Available,,,,,Age coverage - minimum age: 18 years old.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,WF,Wallis and Futuna,_T,Total,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,4.53,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,WF,Wallis and Futuna,_T,Total,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,3.38,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,WF,Wallis and Futuna,_T,Total,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2023,,3.28,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_ISV_IFRM,8.3.1 Informal employment in non-agriculture,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,55,,PERCENT,percent,N,National,C,Country Data,"Tonga NSO, Census of Population and Housing 2016.",,,,,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_ISV_IFRM,8.3.1 Informal employment in non-agriculture,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,73.55,,PERCENT,percent,G,Global,_X,Not Available,,,B,Time series break,Repository: ILO-STATISTICS - Micro data processing. Break in series: Methodology revised.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_ISV_IFRM,8.3.1 Informal employment in non-agriculture,TO,Tonga,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,96.11,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,SB,Solomon Islands,F,Female,Y55T64,55-64,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,0,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2012-2013,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,MH,Marshall Islands,_T,Total,Y15T999,15+,U,Urban,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,6.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_NEET,"8.6.1 Youth not in education, employment or training",WF,Wallis and Futuna,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,36.32,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_NEET,"8.6.1 Youth not in education, employment or training",WF,Wallis and Futuna,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,19.32,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_NEET,"8.6.1 Youth not in education, employment or training",WF,Wallis and Futuna,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2023,,27.98,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,PW,Palau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,PWD,Persons without disability,2020,,0.76,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_ISV_IFRM,8.3.1 Informal employment in non-agriculture,VU,Vanuatu,_T,Total,Y65T999,65+,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,90.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,TK,Tokelau,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,9,Elementary Occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,3.24,,CUR_LCU,local currency,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing. NZD: New Zealand dollar.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,FM,Micronesia (Federated States of),M,Male,Y25T54,25-54,R,Rural,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,14.6,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2013-2014,,A,Normal value,Based on 19th ICLS standards,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,TO,Tonga,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,4,Clerical Support Workers,_Z,Not applicable,_T,No breakdown by disability,2018,,15.9,,CUR_LCU,local currency,G,Global,_X,Not Available,,,B,Time series break,Repository: ILO-STATISTICS - Micro data processing. Break in series: Methodology revised | TOP: Pa'anga.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_EMP_EARN,8.5.1 Average hourly earnings,TO,Tonga,F,Female,_T,All ages,_T,National,_T,Total,_T,All education levels,4,Clerical Support Workers,_Z,Not applicable,_T,No breakdown by disability,2021,,5.77,,CUR_LCU,local currency,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing. TOP: Pa'anga.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,MH,Marshall Islands,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,PWD,Persons without disability,2019,,7.31,,PERCENT,percent,G,Global,_X,Not Available,,,,,Repository: ILO-STATISTICS - Micro data processing.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,SL_TLF_UEM,8.5.2 Unemployment rate,MH,Marshall Islands,M,Male,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,PWD,Persons without disability,2021,,8.88,,PERCENT,percent,G,Global,_X,Not Available,,,B,Time series break,Repository: ILO-STATISTICS - Micro data processing. Break in series: Methodology revised.,
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,5254040,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,14071170,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,51018970,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,55269750,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,38301420,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,15007110,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
DATAFLOW,SPC:DF_SDG_08(3.0),Sustainable Development Goal 08 - Decent Work and Economic Growth,I,A,Annual,DC_TOF_TRDDBML,"8.a.1 Total official flows disbursed for Aid for Trade, by recipient",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,17638890,,CON_USD,Constant USD,G,Global,C,Country Data,The Organisation for Economic Co-operation and Development (OECD).,,,,"Gross disbursements; Based on OECD, CRS databased, 2024; Constant 2022 USD million",
